Record_ID,Equipment_Tag,Equipment_Name,Unit,Event_Date,Failure_Mode,Vibration_mms,Bearing_Temp_C,MTBF_Days,Downtime_Hours,Root_Cause,Corrective_Action,Risk_Level,Classification
REC-MRPL-1001,K-101,Centrifugal Gas Compressor,Hydrocracker Unit-2,2025-02-02,Vibration Excursion,6.0,75.5,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1002,K-102,Hydrogen Recycle Compressor,Hydrocracker Unit-2,2025-03-03,Mechanical Seal Leak,3.8,64.0,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1003,P-201A,Crude Charge Pump,Crude Distillation Unit,2025-04-04,Bearing Babbit Spalling,6.1,84.5,31,11.5,Lube oil particle contamination,"Flushed lube oil system, replaced bearing",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1004,P-201B,Crude Charge Pump (Standby),Crude Distillation Unit,2025-05-05,Impeller Cavitation Wear,5.2,64.0,85,14.0,Low suction head (NPSHa deficit),Cleaned duplex suction strainer,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1005,P-204A,Boiler Feed Water Pump,Utilities & Power,2025-06-06,Lube Oil Temperature Spike,2.7,92.5,110,16.5,Shell-and-tube oil cooler fouling,Acid chemical descaling of cooler,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1006,P-204B,Boiler Feed Water Pump,Utilities & Power,2025-07-07,Dry Gas Seal Vent Pressure High,5.0,76.0,54,19.0,Primary seal face particulate wear,"Purged N2 barrier gas, replaced face rings",HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1007,C-301,Fluid Catalytic Cracker Blower,FCC Unit,2025-08-08,Coupling Disc Pack Fatigue,4.6,54.0,95,21.5,Cyclic torsional resonance,Replaced flexible stainless disc pack,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1008,E-401A,Pre-Flash Column Heat Exchanger,Crude Distillation Unit,2025-09-09,Motor Winding Overheat,3.1,89.5,130,4.0,Cooling fan shroud blockage,Cleared debris and replaced air filters,MEDIUM,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1009,V-502,High Pressure Hydrocarbon Separator,Hydrocracker Unit-1,2025-10-10,Vibration Excursion,6.6,77.0,42,6.5,Shaft Misalignment & Soft Foot,Precision laser alignment performed,HIGH,SYNTHETIC_CONFIDENTIAL
REC-MRPL-1010,P-302,Slurry Circulation Pump,FCC Unit,2025-11-11,Mechanical Seal Leak,3.4,65.5,68,9.0,Elastomer O-ring hardening from heat,Installed Silicon Carbide seal cartridge,MEDIUM,SYNTHETIC_CONFIDENTIAL
